"long_name","name","slug","tid"
"LeTourneau University","LeTourneau","letourneau","1187"
"Lewis University","Lewis","lewis","1191"
"Lewis & Clark College","Lewis & Clark","lewis-clark","1189"
"Lewis-Clark St.","Lewis-Clark St.","lewis-clark-st","1193"
"Liberty University","Liberty","liberty","1195"
"Limestone College","Limestone","limestone","1197"
"Lincoln Christian College & Seminary","Lincoln Christian","lincoln-christian","1199"
"Lincoln Memorial University","Lincoln Memorial","lincoln-memorial","1201"
"Lincoln University (Mo.) ","Lincoln (MO)","lincoln-mo","1203"
"The Lincoln University (Pa.)","Lincoln (PA)","lincoln-pa","1205"
"Lindenwood University","Lindenwood","lindenwood-mo","1207"
"Linfield College","Linfield","linfield","1209"
"Lipscomb University","Lipscomb","lipscomb","1211"
"LIU Post","LIU Post","liu-post","543"
"Livingstone College","Livingstone","livingstone","1213"
"Lock Haven University","Lock Haven","lock-haven","1215"
"Long Beach State University","Long Beach St.","long-beach-st","1217"
"Long Island University-Brooklyn","Long Island","long-island","1219"
"Longwood University","Longwood","longwood","1221"
"Loras College","Loras","loras","1223"
"Louisiana College","Louisiana Col.","louisiana-col","1225"
"Louisiana Tech University","Louisiana Tech","louisiana-tech","1229"
"University of Louisville","Louisville","louisville","2123"
"Loyola University Chicago","Loyola (IL)","loyola-chicago","1233"
"Loyola University Maryland","Loyola Maryland","loyola-maryland","1235"
"Loyola Marymount University","Loyola Marymount","loyola-marymount","1231"
"Louisiana State University","LSU","lsu","1227"
"Lubbock Christian University","Lubbock Christian","lubbock-christian","27361"
"Luther College","Luther","luther","1237"
"Lycoming College","Lycoming","lycoming","1239"
"University of Lynchburg ","Lynchburg","lynchburg","1241"
"Lyndon State College","Lyndon St.","lyndon-st","1243"
"Lynn University","Lynn","lynn","1245"
"Macalester College","Macalester","macalester","1247"
"MacMurray College","MacMurray","macmurray","1249"
"University of Maine","Maine","maine","2129"
"Maine Maritime Academy","Maine Maritime","maine-maritime","1251"
"Malone University","Malone","malone","1253"
"Manchester University","Manchester","manchester","1255"
"Manhattan College","Manhattan","manhattan","1257"
"Manhattanville College","Manhattanville","manhattanville","1259"
"Mansfield Univ. of Pennsylvania","Mansfield","mansfield","1261"
"Maranatha Baptist University","Maranatha Baptist","maranatha-baptist","1263"
"Marian University ","Marian (WI)","marian-wi","1265"
"Marietta College","Marietta","marietta","1267"
"Marist College","Marist","marist","1269"
"Marquette University","Marquette","marquette","1271"
"Mars Hill University","Mars Hill","mars-hill","1273"
"Marshall University","Marshall","marshall","1275"
"Martin Luther College","Martin Luther","martin-luther","1277"
"University of Mary","Mary","mary","2131"
"Mary Baldwin University ","Mary Baldwin","mary-baldwin","1279"
"University of Mary Hardin-Baylor","Mary Hardin-Baylor","mary-hardin-baylor","2133"
"University of Mary Washington","Mary Washington","mary-washington","2135"
"University of Maryland-College Park","Maryland","maryland","2139"
"Marymount University","Marymount (VA)","marymount-va","1281"
"Maryville University of Saint Louis","Maryville (MO)","maryville-mo","1285"
"Maryville College ","Maryville (TN)","maryville-tn","1283"
"Marywood University","Marywood","marywood","1287"
"Massachusetts Maritime Academy","Mass. Maritime","mass-maritime","1293"
"University of Massachusetts","Mass-Amherst ","massachusetts","2145"
"McDaniel College","McDaniel","mcdaniel","1295"
"McKendree University","McKendree","mckendree","1297"
"Massachusetts College of Liberal Arts","Mass-Liberal-Arts ","mcla","1289"
"McMurry University","McMurry","mcmurry","1299"
